lakeid,lakename,year4,daynum,sampledate,depth,temperature_C,dissolvedOxygen,irradianceWater,irradianceDeck,comments
R,Peter Lake,2015,222,10/08/2015,6,6.8,0.1,2.26,1072,NA
R,Peter Lake,2015,222,10/08/2015,6.5,6.1,0.1,NA,NA,NA
R,Peter Lake,2015,222,10/08/2015,7,5.5,0,NA,NA,NA
R,Peter Lake,2015,222,10/08/2015,8,5,0,NA,NA,NA
R,Peter Lake,2015,222,10/08/2015,9,4.7,0,NA,NA,NA
R,Peter Lake,2015,222,10/08/2015,10,4.7,0,NA,NA,NA
R,Peter Lake,2015,222,10/08/2015,11,4.6,0,NA,NA,NA
R,Peter Lake,2015,222,10/08/2015,12,4.6,0,NA,NA,NA
R,Peter Lake,2015,229,17/08/2015,0,24.5,7.4,138.5,159.5,NA
R,Peter Lake,2015,229,17/08/2015,0.25,NA,NA,134.7,164.4,NA
R,Peter Lake,2015,229,17/08/2015,0.5,24.8,7.6,101.2,167.2,NA
R,Peter Lake,2015,229,17/08/2015,0.75,NA,NA,82.51,165.4,NA
R,Peter Lake,2015,229,17/08/2015,1,24.8,7,62.22,166.4,NA
R,Peter Lake,2015,229,17/08/2015,1.5,24.8,7.2,42.38,168.7,NA
R,Peter Lake,2015,229,17/08/2015,2,24,7.9,31.58,171.5,NA
R,Peter Lake,2015,229,17/08/2015,2.5,22.9,7.6,23.68,168.7,NA
R,Peter Lake,2015,229,17/08/2015,3,20.9,8.8,17.22,170.7,NA
R,Peter Lake,2015,229,17/08/2015,3.5,17.6,10.8,12.01,172,NA
R,Peter Lake,2015,229,17/08/2015,4,14.8,11.2,8.258,174.4,NA
R,Peter Lake,2015,229,17/08/2015,4.5,12,11.7,5.34,173.6,NA
R,Peter Lake,2015,229,17/08/2015,5,9.8,11.4,3.294,177.5,NA
R,Peter Lake,2015,229,17/08/2015,5.5,8,2.8,1.495,178.9,NA
R,Peter Lake,2015,229,17/08/2015,6,7,0.2,NA,NA,NA
R,Peter Lake,2015,229,17/08/2015,6.5,6.4,0.1,NA,NA,NA
R,Peter Lake,2015,229,17/08/2015,7,5.7,0.1,NA,NA,NA
R,Peter Lake,2015,229,17/08/2015,8,5,0.1,NA,NA,NA
R,Peter Lake,2015,229,17/08/2015,9,4.8,0.1,NA,NA,NA
R,Peter Lake,2015,229,17/08/2015,10,4.7,0.1,NA,NA,NA
R,Peter Lake,2015,229,17/08/2015,11,4.7,0,NA,NA,NA
R,Peter Lake,2015,229,17/08/2015,12,4.7,0,NA,NA,NA
R,Peter Lake,2015,236,24/08/2015,0,19.6,7.6,128.8,157.2,NA
R,Peter Lake,2015,236,24/08/2015,0.25,NA,NA,131.1,165.2,NA
R,Peter Lake,2015,236,24/08/2015,0.5,19.7,7.5,97.48,166.2,NA
R,Peter Lake,2015,236,24/08/2015,0.75,NA,NA,76.59,160.6,NA
R,Peter Lake,2015,236,24/08/2015,1,19.7,7.6,57.61,159.9,NA
R,Peter Lake,2015,236,24/08/2015,1.5,19.7,7.5,37.72,159.8,NA
R,Peter Lake,2015,236,24/08/2015,2,19.7,7.5,27.83,159.3,NA
R,Peter Lake,2015,236,24/08/2015,2.5,19.7,7.6,19.85,158.6,NA
R,Peter Lake,2015,236,24/08/2015,3,19.7,7.7,15.09,164.2,NA
R,Peter Lake,2015,236,24/08/2015,3.5,19.7,7.6,10.91,164.7,NA
R,Peter Lake,2015,236,24/08/2015,4,15.7,9.7,7.292,163.1,NA
R,Peter Lake,2015,236,24/08/2015,4.5,12.3,10,4.704,156.4,NA
R,Peter Lake,2015,236,24/08/2015,5,9.9,11.6,2.711,151.3,NA
R,Peter Lake,2015,236,24/08/2015,5.5,8.3,3.1,1.055,147.6,NA
R,Peter Lake,2015,236,24/08/2015,6,7.3,0.2,NA,NA,NA
R,Peter Lake,2015,236,24/08/2015,6.5,6.4,0.1,NA,NA,NA
R,Peter Lake,2015,236,24/08/2015,7,5.8,0.1,NA,NA,NA
R,Peter Lake,2015,236,24/08/2015,8,5.1,0.1,NA,NA,NA
R,Peter Lake,2015,236,24/08/2015,9,4.8,0.1,NA,NA,NA
R,Peter Lake,2015,236,24/08/2015,10,4.7,0.1,NA,NA,NA
R,Peter Lake,2015,236,24/08/2015,11,4.7,0,NA,NA,NA
R,Peter Lake,2015,236,24/08/2015,12,4.6,0.1,NA,NA,NA
